AtmID,blkNum,streetAddress,unitNumber,postalCode,city,state,country
57c4526b7cae4bb8a2e7354482508494,1,Alpha Street,-,138632,SINGAPORE,SINGAPORE,SINGAPORE
4ba28d52538b4e3f9f66d24333939d02,2,Bravo Way,-,247909,SINGAPORE,SINGAPORE,SINGAPORE
27c215af35dd4c7dbe704b77360e4888,3,Charlie Walk,-,389728,SINGAPORE,SINGAPORE,SINGAPORE
6a8145ec3be544879331c0c592e510b6,4,Delta Road,-,443738,SINGAPORE,SINGAPORE,SINGAPORE
30405169fcf54a1f8bd9334c0f796e59,5,Echo Drive,-,550151,SINGAPORE,SINGAPORE,SINGAPORE
e84b2507fa6d48b8a36efe0c6ee9b29f,6,Foxtrot Circle,-,637383,SINGAPORE,SINGAPORE,SINGAPORE
48a57ac0283e4581915b4190e08e8252,7,Golf Green,-,769098,SINGAPORE,SINGAPORE,SINGAPORE
d8fb2e7c3b0746e38f391bca46761677,8,Hotel Drive,-,828811,SINGAPORE,SINGAPORE,SINGAPORE
972724ec43c9451d920025542aaa8fb5,9,India Road,-,998270,SINGAPORE,SINGAPORE,SINGAPORE
758e48d25dc94301b0e92b12d353eaf9,22,Juliet Street,-,229136,SINGAPORE,SINGAPORE,SINGAPORE
