ISO3166-1-Alpha-3,ISO4217-currency_alphabetic_code,CLDR display name
USA,USD,United States
BES,USD,Caribbean Netherlands
IOT,USD,British Indian Ocean Territory
VGB,USD,British Virgin Islands
ECU,USD,Ecuador
GUM,USD,Guam
MHL,USD,Marshall Islands
FSM,USD,Micronesia
MNP,USD,Northern Mariana Islands
PLW,USD,Palau
PRI,USD,Puerto Rico
TLS,USD,Timor-Leste
TCA,USD,Turks & Caicos Islands
UMI,USD,U.S. Outlying Islands
VIR,USD,U.S. Virgin Islands
USA,USD,United States
AUS,AUD,Australia
CXR,AUD,Christmas Island
CCK,AUD,Cocos (Keeling) Islands
HMD,AUD,Heard & McDonald Islands
KIR,AUD,Kiribati
NRU,AUD,Nauru
NFK,AUD,Norfolk Island
TUV,AUD,Tuvalu
GBR,GBP,United Kingdom
GGY,GBP,Guernsey
IMN,GBP,Isle of Man
JEY,GBP,Jersey
JPN,JPY,Japan
SGP,SGD,Singapore
CHE,CHF,Switzerland
LIE,CHF,Liechtenstein
SWE,SEK,Sweden
IND,INR,India
CHN,CNY,China
HKG,HKD,Hong Kong
CAN,CAD,Canada
AUT,EUR,Austria
BEL,EUR,Belgium
CYP,EUR,Cyprus
EST,EUR,Estonia
FIN,EUR,Finland
FRA,EUR,France
GUF,EUR,French Guiana
DEU,EUR,Germany
GLP,EUR,Guadeloupe
VAT,EUR,Vatican City
IRL,EUR,Ireland
LVA,EUR,Latvia
LTU,EUR,Lithuania
LUX,EUR,Luxembourg
MLT,EUR,Malta
MTQ,EUR,Martinique
MYT,EUR,Mayotte
MCO,EUR,Monaco
MNE,EUR,Montenegro
NLD,EUR,Netherlands
PRT,EUR,Portugal
REU,EUR,Reunion
BLM,EUR,Saint Barthelemy
MAF,EUR,St. Martin
SPM,EUR,St. Pierre & Miquelon
SMR,EUR,San Marino
SVK,EUR,Slovakia
SVN,EUR,Slovenia
ESP,EUR,Spain
ALA,EUR,Aland Islands
BEN,XOF,Benin
MLI,XOF,Mali
NER,XOF,Niger
BFA,XOF,Burkina Faso
CIV,XOF,Cote D'lvoire
GNB,XOF,Guinea-Bissau
SEN,XOF,Senegal
TGO,XOF,Togo
